"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Liquefied petroleum gases (LPG)",0.941043694428341
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Motor gasoline excl. biofuels",0.785890656330346
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other kerosene",0.99952827068814
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Electricity",0.576499428910332
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Fuel oil",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Gas/diesel oil excl. biofuels",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Liquefied petroleum gases (LPG)",0.941043694428341
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Motor gasoline excl. biofuels",0.64524
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Other kerosene",0.90781187190138
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Electricity",0.755762944828756
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Gas works gas",0.742732829725329
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Blast furnace gas",0.742732829725329
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven coke",0.742732829725329
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven gas",0.742732829725329
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Other bituminous coal",0.742732829725329
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Electricity",0.69782013983273
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Gas works gas",0.562708229096338
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Other bituminous coal",0.562708229096338
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Electricity",0.723987103423979
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Gas works gas",0.988135627057577
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Electricity",0.617030141283941
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Gas works gas",0.76913128080744
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Other bituminous coal",0.76913128080744
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Electricity",0.723547065325414
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Electricity",0.750480439493237
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Electricity",0.665429215684225
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Gas works gas",0.789506832705774
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Electricity",0.512604722706617
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Electricity",0.668749679943995
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Electricity",0.653584733557746
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Gas works gas",0.895721152655895
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.773668587057275
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Liquefied petroleum gases (LPG)",0.941043694428341
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.90781187190138
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.270270717986206
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.55655
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas/diesel oil excl. biofuels",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.773668587057275
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other bituminous coal",0.901478492887006
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.90781187190138
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.270270717986206
"South Africa","Total energy supply; Total final consumption; Transport; Domestic aviation","Kerosene type jet fuel excl. biofuels",0.794507963118189
"Ghana","Total energy supply; Total final consumption; Transport; Road","Gas/diesel oil excl. biofuels",0.733666045464981
"Ghana","Total energy supply; Total final consumption; Transport; Road","Motor gasoline excl. biofuels",0.824223375928977
"South Africa","Total energy supply; Total final consumption; Transport; Road","Electricity",0.303852106608822
"South Africa","Total energy supply; Total final consumption; Transport; Road","Fuel oil",0.733666045464981
"South Africa","Total energy supply; Total final consumption; Transport; Road","Gas/diesel oil excl. biofuels",0.733666045464981
"South Africa","Total energy supply; Total final consumption; Transport; Road","Motor gasoline excl. biofuels",0.824223375928977
"Ghana","Total energy supply; Total final consumption; Transport; Rail","Gas/diesel oil excl. biofuels",0.655
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Electricity",0.395407407407407
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Fuel oil",0.655
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Gas/diesel oil excl. biofuels",0.655
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Liquefied petroleum gases (LPG)",0.655
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Motor gasoline excl. biofuels",0.655
"South Africa","Total energy supply; Total final consumption; Transport; Pipeline transport","Electricity",0.203583333333333
"Ghana","Total energy supply; Total final consumption; Transport; Domestic navigation","Gas/diesel oil excl. biofuels",0.679519354
