"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Motor gasoline excl. biofuels",0.785890656330346
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other kerosene",0.999506559297218
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Electricity",0
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Fuel oil",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Gas/diesel oil excl. biofuels",0.55655
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Liquefied petroleum gases (LPG)",0.55
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Motor gasoline excl. biofuels",0.64524
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Other kerosene",0.6
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Electricity",0.612973304189047
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Gas works gas",0.696153846153846
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Blast furnace gas",0.696153846153846
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven coke",0.696153846153846
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven gas",0.696153846153846
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Other bituminous coal",0.696153846153846
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Electricity",0.405361345272473
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Gas works gas",0.237401669472021
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Other bituminous coal",0.237401669472021
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Electricity",0.568008875195408
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Gas works gas",0.96981920399082
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Electricity",0.395502536663881
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Gas works gas",0.701896034645023
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Other bituminous coal",0.701896034645023
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Electricity",0.121567920294307
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Gas works gas",0.206625819127905
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Electricity",0.116026084005033
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Gas works gas",0.206625819127905
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Electricity",0.168289084395336
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Gas works gas",0.464543859649123
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Electricity",0.281405328061487
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Gas works gas",0.206625819127905
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Electricity",0.382530567112034
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Gas works gas",0.206625819127905
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Electricity",0.235823150504437
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Gas works gas",0.206625819127905
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Liquefied petroleum gases (LPG)",0.55
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.6
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.10733
