"Country","Method","Energy.type","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","Sector","var","1971","2000"
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Mining and quarrying","Useful",18012.890885452,46561.9303296175
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Mining and quarrying","eta_fu",0.201396334149399,0.350738292779141
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use in chemical/petrochemical","Final",33194.2816,234534.7732
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use in chemical/petrochemical","Useful",31.31536,221.25922
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use in chemical/petrochemical","eta_fu",0.000943396226415094,0.000943396226415094
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use industry/transformation/energy","Final",8477.9979,18315.360998
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use industry/transformation/energy","Useful",8.4779979,18.0722273
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-energy use industry/transformation/energy","eta_fu",0.001,0.000986725148468188
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-ferrous metals","Final",83106.2537,56248.416
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-ferrous metals","Useful",2071.2622153532,14966.544402179
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-ferrous metals","eta_fu",0.0249230608183846,0.266079393278897
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-metallic minerals","Final",53178.2004,45185.2226
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-metallic minerals","Useful",6102.6017072353,10549.8267642606
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Non-metallic minerals","eta_fu",0.1147575822674,0.233479579322923
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Oil refineries","Final",26588.054752,94989.407064
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Oil refineries","Useful",11842.6773422801,24151.1793080746
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Oil refineries","eta_fu",0.445413455506342,0.254251290270741
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Paper, pulp and printing","Final",1778.4,8155.512
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Paper, pulp and printing","Useful",650.301054995898,2899.86256545769
